Comment,id
OMG I was bawling my eyes out and then laughing my ass off all in the space of three minutes. This show is a real emotional roller coaster.,1093
"I’m sorry for what u have been thru, too ❤️‍🩹",587
"No I don’t think he actually seriously accepted that job, more like he was frozen and confused by the interaction not going how he had planned—my take is that he went there for some some kind of closure but instead fell right back into the same pattern of seeking his abusers validation. It’s a confusing and unsatisfying ending (I was hoping there’d be some sort of confrontation), but ultimately probably a lot more realistic to what an abused person would do. It’s that rawness and vulnerability that makes this show special imo",1222
I hope they delve into Donny's childhood. Wouldn't be surprised if his mother had a psychiatric illness too,227
Love that ❤️,988
Brown skinned? I've seen darker Italians.,377
Ah crap now that im halfway through the show i get why hes like that 🫠,270
damn't i'm trying to understand how to fix this destructive path - one of things comes up to my mind is - do opposite to understand that there is other ways/feelings? like why self desecration is must have for him?,917
I don’t think we’re meant to feel sorry for him. He certainly hasn’t set up the show for us to think that way.,281
Does it make a difference if the show is real or not??,1207
Found some of his confidencr,985
Yep just did and makes so much sense now. Also can’t believe this actually happened to the actor in his real life & he is the writer and director of this show!!!,751
"yeah, this. He wasn't snarling or anything. bloody haunting seeing him casually being a monster.",682
"Yes, it is",111
Why or when would any gay man want to sleep with a woman? When do gay men ever sleep with trans women? They don’t it’s almost like they’re not attracted to WOMEN,512
"1. Be civil, polite and courteous. No trolling. Treat others with respect and kindness. This show is bound to elicit big feelings for many viewers. As contributors post and comment in this sub, treat each other with respect and kindness.",692
"Very helpful, thank you! I want to watch the episode but I can do with skipping the scene.",658
[deleted],643
"I fuckin wheezed when it went from 'Sent from my iPhone"" to just ""iphone"" 💀",442
Him. Martha told them he was in the hospital after a car accident.,937
I just wanna give Donny a big hug,1003
"I hate that Darrien was not punished. He’s just a horrible person. I hope he didn’t end up working for him! I think I have to watch the ending episode again. I read reviews before I watched Reindeer and some reviewers said this was a dark comedy. It was not what I was expecting. Unfortunately, a lot of artists who struggle to make a place for themselves in the entertainment industry fall prey to established but demented people who use their status in the industry for doing horrible things.",1172
"He can't find arousal/no longer associates sex with a healthy relationship. The only way he can get turned on anymore is by committing acts of self desecration, and the most self destructive path for him is to fuck Martha (who is the most external representation/surrogate for his life spiralling into ruin).",916
Wow! What a dark episode! I had to look away so many times while they were displaying the drug scenes.,806
"No label. It's one of those ""don't announce, share if asked"" kind of things. For most people, there is only one person who needs to know the genitalia they prefer. You don't need a label for information communicated so rarely and intimately.",535
"That was not a funny moment. Heartbreaking, but not funny.",1091
Lol I don't know if she's meant to be latina but she's definitely not white. Quite sure that's intentional in the casting as well.,351
It was frustrating but a very real depiction at how men don't take other mens' victimization seriously (especially if their abuser is a woman),1186
"It's very rare for a tv episode or a film to have such a profound effect on me as this did. Must admit that I had to pause it after the most harrowing scenes, then go back to finish the episode after a few minutes to decompress and calm down. Reading some of the earlier comments it looks like a lot of people who have suffered SA have found the episode and series helpful. More power to you all - and to Richard Gadd.",822
"I have not binge watched a show in one sitting in years until this show. Raw. Real. Brilliant. I felt disgusted, I felt validated. It accomplished the impossible. The scene in the courtroom where Martha is whimpering baby reindeer and the last voicemail actually made me feel a touch of empathy for a racist, homophobic, stalking, sexual assailant! Just bravo. I really hope this show and all the people who worked on it gets their flowers. Just perfection.",1155
I think it was a more raw portrayal of the post trauma behavior. That’s what hit me hard Him being a man is definitely part of the shock factor because we don’t tend to see men as the victims of SA/rape in film. Also as someone that has been anally raped (I’m a cis woman) there was something extra violating to me about that particular type and so that was extra jarring to me as well,813
Teri is a badass and deserves better than this mess,546
"so hard to watch. i know it was beautifully made, but i just cannot handle watching his meltdown in front of so many people. the self pity, the trauma dumping, and the admitting that he was a failing artist hit so close. of all places to admit to what's happened to him, he really chose his comedy gig?? martha and darrien had ruined him beyond fixing. i feel so bad for him. i wonder how it's all going to end.",1019
"Could be the demand supply thing but I also found something on why Donny shouldn't have been judged even if it were true- By their very nature, human beings are so capricious so complex so delightfully contradictory that they deserve not only consideration but our reconsiderations - and our unwavering determination to withhold our opinion until we have engaged with them in every possible setting at every possible hour.",933
"Because Martha is the only one to be able to recognize his abuse without him having to explicitly tell people. He can’t tell people because of the shame. That’s the grip Martha has on him; she can see he was abused. Even in that intimate fantasy, she says something about him being abused.",926
"I fully agree, opened wounds for me as well but I felt kind of settled and understood afterwards. A lot of the things I did after did not make sense to a lot of people, not even to me, and now, especially with his depiction after his assault, I realize it fucks you up. You won’t be completely rational, especially not as a young person. It’s normal to be abnormal after something like that happens to you.",705
