Comment,id,Donny,Martha
"As my therapist put it, “when a person goes through abnormal circumstances, it’s normal for them to behave abnormally.” Hearing that helped me to stop judging myself so harshly for ways I had responded to abuse. I hope it gives you the same comfort or at least, helps you knowing that you’re not alone ❤️",1114,0,0
Hey mods can you post a mega thread to pin to the main page?,275,0,0
[deleted],643,0,0
"This is a weak man, with no balls.",336,0,0
"""Don't bring chaos to my mother's door"" I recall is the line. If he creates drama, likely he'll get kicked out.",427,1,0
Seems like you may be confused what a trigger warning does - unless you’ve been traumatized by drivel in the past? I can send some support groups your way lmk,560,0,0
What are you referring to?,970,0,0
"No, it’s kind of extreme. It’s super uncomfortable. Especially when you’re just watching him allow it happen and you don’t really understand why he’s allowing it to happen. It’s super confusing overall. I wish I never had watched episode together. Pretty weird. Edit: after finishing the episode. And the series. You do need to watch episode four in order to continue the series. The beginning of episode four is super brutal tho",711,1,0
Got ‘em,565,0,0
Holy smokes this is going to be good,226,0,0
Society has become very anti-social. Its so difficult to interact with people and start conversation. Its easier with people you might repetitively see on a regular basis so the desire for more interaction coupled with lack of social skills creates a feedback of anxiety and those fears become this awkward jumbley mess trying to interact with people you think you know. And no one wants to hang out with random people so its just enforces those feeling of being alone.,1184,0,0
"Yes! Sometimes I look back at my behavior while with my abuser, and it’s so confusing why I did the things I did. The thought of seeing her would make me nauseous, and then I’d be hopping on 2 buses and 2 trains to travel 5 hours to be with her for a full weekend. The choices we make don’t always make sense when we’re so deeply manipulated and traumatized, and I appreciate him showing the nuances of that.",584,0,0
Over a dozen!,967,0,0
This was almost too much. I've never had something explain what I went through for 20 years so realistically. It opened wounds but then made me feel understood for the first time in a long time.,704,0,0
"It's definitely completely obvious it's in his mind. When the scene starts he is talking about imagining being with her to get off, then imagines going over to hers and then flashes to Teri in the same exact position with him then telling us that's how he finally made it happen with Teri (thinking about Martha)",857,1,1
whoosh,398,0,0
he was literally drugged and raped… you can’t choose to have sex with someone if you’re being drugged.,718,1,0
"Because Martha is the only one to be able to recognize his abuse without him having to explicitly tell people. He can’t tell people because of the shame. That’s the grip Martha has on him; she can see he was abused. Even in that intimate fantasy, she says something about him being abused.",926,1,1
Teri is a Queen. She is awesome. So far she is the best character in this uncomfortable shitshow.,259,0,0
"It depends on how the person with female genitalia identifies. Normally that's just called a preference. You can have preferences for certain genitalia and it doesn't mean you're transphobic. People are allowed to be attracted to certain things, we all are. A cis man attracted to a trans man, who may still have female genitalia he was born with, can be straight, or bisexual, or a gay man because he's attracted to a trans man - and of course I'll say this as a trans man myself- trans men are men. Sometimes cis men can be chasers. Which is a bad thing. It's a man who fetishizes trans people's genitalia, like they're obsessed with it or only see us as sexual objects. Which is obviously wrong. I'm a full person regardless of what 'equipment' I was born with, so to speak. I don't know if I fully understand this particular question, to be honest. If the man is attracted to a woman, trans or cis, who had female genitalia, then he's most likely straight, or could happen to be bisexual >!like in the show.!< But it doesn't take away the fact that trans women, like the one in the show, are to be seen and treated as real women regardless of what genitalia they have, because that's what they are and identify as.",534,0,0
"I am a trans woman and I refer to myself as such, the space is important. Trans is an adjective that describes a part of my identity as a woman.",465,0,0
Such a good way of putting it.,1115,0,0
Damn mannn he broke Richard aka Donny smh,819,1,0
hi everyone.i just watched episode 4. i wonder why there is a cat at darrien's house? he said that he is a pansexual before at the bar.and he said we are in love with the cat! i hope thats not what i think but it smells fishy? what does that mean? is anyone understand that?,726,0,0
"That was one time which brings me to my original statement, I don’t understand why he continue to go back. but after I continue to watch, I understood why he continued to go back. He was a drug addict that was seeking fame. He wasn’t drugged. He was taking drugs. Big difference.",719,1,0
the admiration he gets coupled with donny’s extreme compulsion to people please :( he obviously has issues with boundaries and being essentially a doormat. I hope later episodes expand on this.,322,1,0
"Let's say someone steals your bicycle. If you really cared about this bicycle, maybe your mom gave it to you as a gift, you would be really upset by the theft. You lost something really important to your heart. But instead, you tell yourself, this bicycle was garbage, it was almost broken anyway, it's just cheap junk, the theft matters less to you. What happened is Maybe they even did you a favor by taking away trash you needed to throw away. For Donnie he is the bicycle. He was violated by the writer. But if Donnie treats his body and more importantly, believes that his body and sexuality is worthless and deserves to be violated and treated badly, then what the writer did is not a problem. He lost nothing that didn't deserve to be lost.",920,1,0
The entire show is about trauma. Get with the times.,163,0,0
"It is a power imbalance! Yes, it is grooming.",743,0,0
"The majority of trans women don’t have gender affirming bottom surgery, so if we’re making assumptions I’d guess that yes, she falls into that category.",391,0,0
"Exactly i don’t know why they are acting as if it’s that far fetched/crazy to think the scene was real.. We literally have an entire scene of him running over to Martha and fucking her. I think the intention of the way it was done, although confusing was meant to symbolize how fucked up his mind was after everything he was been through. Lines were blurred for him",862,1,1
He should have pushed that post-joke dance button. That would have been perfect comedic timing.,414,1,0
"Because he did it after reading his abuser’s notes on his script, I read it as an attempt to figure out if his abuser ever really thought he had talent or if it was all just part of the ploy. He was still seeking validation. And after he left he was frightened by how tempted he was to actually follow through on the offer to write for his show, so he turned to the voicemails from Martha to build himself up instead.",1145,1,0
"I'm so sorry. That's fucked. Just getting to the point of awareness took a ton of work, I bet.",623,0,0
