id,Comment,Empathy_Tim,TraditionalStalker_Tim
416,I was 100% expecting him to hit that button when she left the room.,0,99
924,"She adored and worshipped him in a sick way, and he needed that then.",0,99
252,"Holy heck this is creepy. I understand there’s something else going on and I also know he feels sorry for her but so far he’s also frustrating the hell out of me. This woman needs help, not to be egged on.",1,99
233,Why didn't he ask her why she can't afford anything after all that bragging? It's bothering me.,0,99
213,Yeah I can't believe that she was fully already a convicted stalker and he kept on with it! In interviews about the show he's said that she needs mental help but also maybe he does.,0,1
344,"Given the fact that this crazy stalker lady insulted Asian people in a previous episode, I wouldn't be surprised if she were being racist against Teri, though I initially took it as her insulting Americans as a whole. I'm certain that a racial element is at play here.",0,1
894,"What creeps me out the most is that everything else was horrendously misspelled. Except those ""Sent from my iPhone"" tags--until later. She INTENTIONALLY misspelled the other words, and I have no idea why, but it's terrifying that she was controlling her perception to that extent.",0,0
222,Man he is leading her on HARD it’s aggravating,0,99
114,I’m intrigued by it but don’t understand how she could have been a graduate lawyer if she can barely spell. I’m hoping more is revealed which explains this as it’s a bit distracting.,0,0
1026,I was wondering why his dad didn't just block her number as well,0,1
842,Needing therapy and being courageous enough to be honest can go hand in hand. I don’t see how this was a judgmental comment. He needs it AND she needs it.,0,99
927,I thought he actually had sex with her?,99,99
454,"rhey are LITERALLY saying the opposite of be quiet. He needed to tell the police, Teri the truth, and Liz. He put them all in danger by being a coward and straight up antagonixing her. Instead his ""empathetic"" feelings are making his stupid decisions. Like why go back out and talk to her and invite her in your hom?. That is begging for the drama Keely was talking about",0,99
182,"Yes, but as the policeman explains to him, it's different because there is a difference in physical capabilities to do harm. Also, he isn't discouraging her or explaining to her any of her misinterpretations. He just encourages it more.",0,99
437,"my initial thought was she’s just fixating on something she thinks is insulting in the moment, tho wearing boots is pretty tame in comparison to everything else she had said. sooo disregard this if we find out more about that in the next episodes 😄",0,99
971,Yeah I didn't buy it either. She was really obviously unhinged in that bit.,0,99
1168,"This show made me understand myself in ways no therapy was ever able to do. The last scene, I think he not only realized they were the same, but that he had become her safe place and she had become his....in the most toxic way possible. Trauma changes people and those that haven't experienced can never understand.",1,99
367,"I find it fascinating that this is how the ex-gf phrased it (a distanced, non-loving way of explaining his situation) when the show is a literal display of all of the actual reasons he kept her around. Loving the drama and 'having nothing in your life to focus on except that drama' or being drawn to that because the rest of your life is scary and/or monotonous? The dude was in the process of coming out in this late 20's, nobody gets out of that unscathed. It's just so funny to me that this show works HARD to explain that he doesn't love the drama as much as he needs and escapes through it, but sure we'll go with the easy summary.",0,99
257,I feel worse for him than I do the stalker,0,99
1169,"incredibly moving and brave story that final scene hit me like a ton of bricks. My abuser had a similar thing - a pet name given to me (albeit at the time I 'loved it' - eg the affection she'd show between hating and tearing me apart) that was equally a result of being seen as this 'saviour' or pure goodness from her own trauma. I remember reading years ago about this, how someone prone to such illness creates you as this perfect image and saviour in their brain, their inner child needing safety from their trauma earlier in their life and when you aren't that, in whatever form that may be, they hate you for it. To them you are both their only saviour and their source of pain, and only you can solve it. Bit of a tangent as I reflect on the illness my abuser suffered with, but man just kudos on this show. I was in floods of tears the last 2 episodes or so.",1,99
893,"I think her obsession and off-putting consistency (hundreds of messages in a day, all with the same Sent From iPhone message at the bottom. Around 41,000 emails in just a 2 year period..) with such a minuscule detail really illustrates the extent of her insecurity and self-loathing. She is self-conscious about everything. Even the type of phone she has. Those are things people don’t worry about unless they’ve way too much time to dwell, compare, and contrast the difference between their sad life and other people’s less sad lives that they’d quite literally kill to obtain. She just didn’t want to let go of the persona even through the many inconsistencies. I think continuing to pretend gave her peace of mind, more peace of mind than embracing her true self/life. But maybe she just wasn’t aware that Donny knew she didn’t have an iPhone? I think that might be plausible, but I don’t remember many details from the show, just that and all the burner phones in the drawer.",1,1
203,"My thought exactly. He should have got away after her first crazy reaction at the cafeteria, instead he gave her complete access to his past life accepting her friend request! Also why he doesn't block her email address? I don't get it...maybe he's just too good and he can't say no to people but still...",0,1
962,"Yes that was insane! Why was he seemingly siding with the clearly mentally unwell woman, and actually googling and goading him?! I was (momentarily) so elated when he finally told the guy to google her shit instead!",0,1
943,"Donny literally mentioned it in the first episode. And in the episode where he went to her apartment, she was using a laptop to write emails. This is the same woman who claimed to be a lawyer. It’s a delusion.",0,99
1006,She doesn’t have an iPhone which Donny said in episode 1 and there’s been multiple typos of iPhone (since she’s the one manually typing it). Every time one of her emails pops up I laugh at the new way she can rearrange the letters 😂,0,0
1011,What’s her twitter?,99,99
125,She could’ve graduated before she completely lost it,0,99
217,This was so painful to watch. I don't want to victim blame but this man is enabling her... She's shown time and time again how unwell she is and he's just playing along? I'm dumbfounded.,1,99
447,"Because she would hide everytime the mom came out, it shows her doin this",0,1
278,That was so hard to watch. He is just encouraging her. But the bosses making a joke od it is so uncomfortably realistic as other men don't take male victims of women seriously.,0,99
1195,This show is crazyyyy i thought it was gonna be just a banter UK show but omg what a wild ride ! So raw so real it’s covered so many topics I don’t even know where to start. This hit home for me so much personally because of the grooming and abuse of power especially in the entertainment industry . The fact that the stalker wasn’t even the main plot of this story .. this is one of the best shows i’ve watched in a. long time!This is a proper limited series. The fact that it’s a real story just boggles my brain. It made me feel like i need to be in therapy for a lot of things in my life too😂😭,0,99
216,"In real life the actress Jessica Gunning is actually cute. Yes she is overweight which hinders her appearance for sure but in real life, she has dark hair and it doesn’t look like a Brillo pad lol and she dresses cute. Looks 10 years younger than her character",0,99
321,"I couldn’t believe it, I practically shouted at the TV for someone to call the police! You finally have her on actual assault, use it!!",0,1
942,Was it? I just assumed she has two phones lol (she has a lot of phones in her kitchen drawer),0,99
363,I just finished this episode and I’m literally scared I’m going to have nightmares of her,0,99
