0,title,text,Comment_level,User_name,Comment,id,parent_id,martha,donny,Vader_pos,Vader_neg,Vader_neu,Vader_compound,toxicity,severe_toxicity,obscene,insult,identity_attack,sexual_explicit,threat
"Baby Reindeer | S1E01 | Episode Discussion 	0	SeraphCraft	I’m intrigued by it but don’t understand how she could have been a graduate lawyer if she can barely spell. I’m hoping more is revealed which explains this as it’s a bit distracting.	
", S1E01 ," 	0	SeraphCraft	I’m intrigued by it but don’t understand how she could have been a graduate lawyer if she can barely spell. I’m hoping more is revealed which explains this as it’s a bit distracting.	
",0,SeraphCraft,I’m intrigued by it but don’t understand how she could have been a graduate lawyer if she can barely spell. I’m hoping more is revealed which explains this as it’s a bit distracting.,114,,1.0,0.0,0.089,0.075,0.835,0.1292,0.00057785236,1.2870431e-06,3.7889105e-05,0.00015350619,6.331548e-05,1.7698165e-05,2.1731277e-05
"Baby Reindeer | S1E01 | Episode Discussion 	1	Impossible_Ad47	Weirdly I had a stalker who also would send one line emails that had a lot of spelling errors and just made no sense at all. It was stream of consciousness. And the more you don’t answer the more unhinged it becomes almost bc it’s like you’re not there so it’s not real in their minds	
", S1E01 ," 	1	Impossible_Ad47	Weirdly I had a stalker who also would send one line emails that had a lot of spelling errors and just made no sense at all. It was stream of consciousness. And the more you don’t answer the more unhinged it becomes almost bc it’s like you’re not there so it’s not real in their minds	
",1,Impossible_Ad47,Weirdly I had a stalker who also would send one line emails that had a lot of spelling errors and just made no sense at all. It was stream of consciousness. And the more you don’t answer the more unhinged it becomes almost bc it’s like you’re not there so it’s not real in their minds,115,114.0,1.0,0.0,0.037,0.111,0.852,-0.552,0.054285835,5.1378966e-06,0.00050399185,0.032666083,0.00083601783,0.0001427541,9.22365e-05
"Baby Reindeer | S1E01 | Episode Discussion 	2	agilebeast1	Oh shit, same happened to me with an obsessive ex, she even said at one point she was sending all those emails and deranged stuff to vent or something	
", S1E01 ," 	2	agilebeast1	Oh shit, same happened to me with an obsessive ex, she even said at one point she was sending all those emails and deranged stuff to vent or something	
",2,agilebeast1,"Oh shit, same happened to me with an obsessive ex, she even said at one point she was sending all those emails and deranged stuff to vent or something",116,115.0,1.0,0.0,0.0,0.169,0.831,-0.6705,0.9410128,0.0076023466,0.92402005,0.13775437,0.0029574807,0.004231481,0.00092774956
"Baby Reindeer | S1E01 | Episode Discussion 	2	Impossible_Ad47	*edit. The craziest thing is he used to do the thing she was doing on the piers Morgan interview too - would say hmmmm as I was speaking bc he was already thinking about the next thing he was going to say. I think it’s being very smart and being a compulsive liar.	
", S1E01 ," 	2	Impossible_Ad47	*edit. The craziest thing is he used to do the thing she was doing on the piers Morgan interview too - would say hmmmm as I was speaking bc he was already thinking about the next thing he was going to say. I think it’s being very smart and being a compulsive liar.	
",2,Impossible_Ad47,*edit. The craziest thing is he used to do the thing she was doing on the piers Morgan interview too - would say hmmmm as I was speaking bc he was already thinking about the next thing he was going to say. I think it’s being very smart and being a compulsive liar.,118,115.0,1.0,0.0,0.052,0.078,0.87,-0.1298,0.77246094,7.0416445e-06,0.0004995105,0.71231186,0.00035541912,0.00010964211,5.5587174e-05
"Baby Reindeer | S1E01 | Episode Discussion 	1	invisibledandelion	Its just her stream of consciousness,her thoughts are going so fast in her head that her fingers cant keep up. You can also notice when shes talking to Donny she talks super fast,in that manic state.	
", S1E01 ," 	1	invisibledandelion	Its just her stream of consciousness,her thoughts are going so fast in her head that her fingers cant keep up. You can also notice when shes talking to Donny she talks super fast,in that manic state.	
",1,invisibledandelion,"Its just her stream of consciousness,her thoughts are going so fast in her head that her fingers cant keep up. You can also notice when shes talking to Donny she talks super fast,in that manic state.",124,114.0,1.0,0.0,0.1,0.0,0.9,0.5994,0.061748095,1.0692389e-05,0.0012677399,0.03198275,0.00065357005,0.00071251387,0.00022136635
"Baby Reindeer | S1E01 | Episode Discussion 	1	UnexaminedLifeOfMine	She could’ve graduated before she completely lost it	
", S1E01 ," 	1	UnexaminedLifeOfMine	She could’ve graduated before she completely lost it	
",1,UnexaminedLifeOfMine,She could’ve graduated before she completely lost it,125,114.0,1.0,0.0,0.0,0.27,0.73,-0.3804,0.0006737977,1.2383666e-06,3.7395243e-05,0.00015385069,7.3579125e-05,1.9253883e-05,2.4367122e-05
"Baby Reindeer | S1E01 | Episode Discussion 	1	niles_deerqueer	I’m assuming that’s how the real stalker typed	
", S1E01 ," 	1	niles_deerqueer	I’m assuming that’s how the real stalker typed	
",1,niles_deerqueer,I’m assuming that’s how the real stalker typed,128,114.0,1.0,0.0,0.0,0.0,1.0,0.0,0.019601343,4.2045294e-06,0.00033439076,0.0073750424,0.0005020289,0.0001382645,0.000176961
"Baby Reindeer | S1E01 | Episode Discussion 	1	smallest_ellie	It's not a plot hole. She is not in her right mind when typing this out. I had a friend who'd start typing like that when she was frantic/manic. Otherwise her spelling was completely normal.	
", S1E01 ," 	1	smallest_ellie	It's not a plot hole. She is not in her right mind when typing this out. I had a friend who'd start typing like that when she was frantic/manic. Otherwise her spelling was completely normal.	
",1,smallest_ellie,It's not a plot hole. She is not in her right mind when typing this out. I had a friend who'd start typing like that when she was frantic/manic. Otherwise her spelling was completely normal.,131,114.0,1.0,0.0,0.147,0.0,0.853,0.6908,0.059285056,1.2162516e-05,0.0016890671,0.031859096,0.0012040082,0.00032952003,0.000104652
"Baby Reindeer | S1E01 | Episode Discussion 	2	Lampukistan2	It’s creepy coming out of her mouth. But out of a genuine lover’s mouth it can feel very heartfelt. https://youtu.be/b7GhrUaNDAI?si=BoFlA1SxFKdTxQpk Like this song.	
", S1E01 ," 	2	Lampukistan2	It’s creepy coming out of her mouth. But out of a genuine lover’s mouth it can feel very heartfelt. https://youtu.be/b7GhrUaNDAI?si=BoFlA1SxFKdTxQpk Like this song.	
",2,Lampukistan2,It’s creepy coming out of her mouth. But out of a genuine lover’s mouth it can feel very heartfelt. https://youtu.be/b7GhrUaNDAI?si=BoFlA1SxFKdTxQpk Like this song.,141,135.0,1.0,0.0,0.296,0.0,0.704,0.87,0.055499464,1.6366823e-05,0.002364678,0.014110256,0.00074895844,0.0022130369,0.00040653747
"Baby Reindeer | S1E01 | Episode Discussion 	3	Lost-friend-ship	Ha, the top comment is “I don’t think I’ve ever heard a creepier song than this in my life.” I’d say the part about wishing she was paralysed so she could never run away is creepier to be honest. 	
", S1E01 ," 	3	Lost-friend-ship	Ha, the top comment is “I don’t think I’ve ever heard a creepier song than this in my life.” I’d say the part about wishing she was paralysed so she could never run away is creepier to be honest. 	
",3,Lost-friend-ship,"Ha, the top comment is “I don’t think I’ve ever heard a creepier song than this in my life.” I’d say the part about wishing she was paralysed so she could never run away is creepier to be honest. ",142,141.0,1.0,0.0,0.163,0.0,0.837,0.7184,0.14092997,2.2529604e-05,0.004701435,0.07395356,0.0016284458,0.0009839446,0.00020747834
